reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
ちゅうにゅう	normal	6	注入	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうねん	terminal	5	中年	名	3	3	国語研,新阪本,阪本	2	国語研,玉村		auto-selected
ちゅうばいか	normal	6	虫媒花	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうふう	normal	5	中風	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうふく	normal	5	中腹	名	3	3	新阪本,田中,阪本	2	工藤,木幡		auto-selected
ちゅうぶ	normal	4	中部	名	2	1	阪本	1	工藤	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうぶう	normal	5	中風	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうぶらりん	terminal	7	中ぶらりん・宙ぶらりん	名・形動	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうぶる	normal	5	中古	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうべい	normal	5	中米	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうもく	normal	5	注目	名・ス自他	2	6	中央,児言研,国語研,新阪本,田中,阪本	2	七種対照,国語研		auto-selected
ちゅうもん	terminal	5	注文・×註文	名・ス他	1	6	中央,児言研,国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちゅうや	normal	4	昼夜	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうやけんこう	normal	8	昼夜兼行	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうよう	normal	5	中庸	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうりつ	normal	5	中立	名	2	4	中央,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうりゃく	normal	6	中略	名・ス他	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうりゅう	normal	6	中流,駐留	名,名・ス自	2,3	3	児言研,新阪本,阪本	2	工藤,木幡		auto-selected
ちゅうれいとう	normal	7	忠霊塔	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうわ	normal	4	中和	名・ス自他	3	3	国語研,新阪本,阪本	2	七種対照,国語研		auto-selected
ちゅーいんがむ	normal	7	chewing gum	名	1	3	新阪本,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅーぶ	normal	4	tube	名	2	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゅーりっぷ	normal	6	tulip	名	1	5	国語研,新阪本,池原,田中,阪本	3	国語研,工藤,木幡		auto-selected
ちょう	normal	3	×蝶,丁,兆,庁,町,腸,長,鳥	名,名・接尾	1,2,3	5	中央,国語研,新阪本,池原,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちょうい	normal	4	弔意	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちょういん	terminal	5	調印	名・ス自	3	3	国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちょうえき	normal	5	懲役	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちょうえつ	normal	5	超越	名・ス自他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
